Title,Rating,Overview
"XO, Kitty",6.6,A new love story unfolds when teen matchmaker Kitty reunites with her long-distance boyfriend at the same boarding school attended by her late mother.
Stromberg,8.4,A comedy centered around the incompetent boss of a German insurance office.
Casual,7.5,"A comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter."
Would I Lie to You?,8.2,"Two teams, lead by their team leader (either Lee Mack or David Mitchell), have to try and make the other team believe their crazy stories."
Vicious,8.1,Freddie Thornhill (Sir Ian McKellen) and Stuart Bixby (Sir Derek Jacobi) are an old gay couple who have been together for nearly fifty years. Their lives now revolve around entertaining their frequent guests and hurling insults at each other at every opportunity.
Ravenswood,6.4,Five strangers are connected by the curse that has plagued Ravenswood for generations.
The Disastrous Life of Saiki K.,8.3,"Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life."
Leila,5.0,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago."
The Other Two,7.8,"An aspiring actor and his sister Brooke, a former professional dancer, try to find their places in the world while wrestling with their feelings about their 13-year-old brother Chase's sudden rise to internet fame."
The Cuphead Show!,7.4,Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.
Mind Your Language,8.7,A diverse group of immigrants and foreigners learn English at an adult education school in London.
Mokhtarnameh,7.5,Mukhtar Thaqafi was a Shiite Muslim leader who sets up a rebellion movement in 686 A.D in the town of Kufa to avenge the martyrdom of Hussain (grandson of Islamic Prophet Muhammad).
The Path,7.2,A man who converts to a controversial following suffers from a crisis of faith.
The War at Home,7.5,Parents struggle to raise their teens.
Fatma,7.4,"As Fatma sets out to search for Zafer, she commits an unexpected murder and she has to keep killing in order to survive."
Human Resources,7.1,A workplace comedy set in the world of the monsters from Big Mouth.
Whose Line Is It Anyway?,8.4,"Aisha Tyler hosts this skit comedy show where the actors on the show, usually Wayne Brady, Colin Mochrie, Ryan Stiles and another guest star or two do different comedy skits. It's all improv and made up on the spot."
Reply 1988,9.2,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures."
Bang Baang,3.8,"Raghu faces the biggest test of his life when he is a prime suspect in a high-profile murder case. Meera, his ex girlfriend is closing onto him at the same time. Will the truth prevail or will the case get more murkier?"
Mrs. Brown's Boys,7.1,A comedy centered on a loud-mouthed Irish matriarch whose favorite pastime is meddling in the lives of her six children.
Goof Troop,6.8,"The classic Disney character Goofy is a single father raising his son, Max, in Spoonerville. Pete, a frequent antagonist from the old cartoons, lives next door with his family."
Mr. Sunshine,8.7,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
Togetherness,7.5,Two couples living under the same roof struggle to keep their relationships alive while pursuing their individual dreams.
Love for Rent,7.3,"When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make omer, a wealthy shoe designer who owns a company, fall in love with her and marry her."
Dahaad,7.6,"Sub-inspector Anjali Bhaati investigates a series of deaths where women are found in public bathrooms. The deaths first appear as suicides but as the investigation progresses, Bhaati realizes that there's a serial killer on the loose."
Manhattan,7.7,"In 1943 Los Alamos, New Mexico, a team of government scientists is working on the top-secret Manhattan Project in a race to produce an atomic bomb before the Nazis. Meanwhile, their families adjust to life on the military base."
For Life,7.7,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.
Miss Scarlet & the Duke,7.7,Eliza Scarlet joins forces with a Scotland Yard Inspector to solve crime in 19th-century London.
Ancient Apocalypse,7.3,What if everything we know about prehistory is wrong? Journalist Graham Hancock visits archaeological sites around the world investigating if a civilization far more advanced than we ever believed possible existed thousands of years ago.
Eastwick,6.5,A mysterious man bestows unique powers to three women.
Chambers,6.4,A woman survives a heart transplant and begins to develop different personality traits.
Shrill,7.4,A woman seeks out ways to change her life without changing her body.
Johnny Test,5.2,"The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process."
The Larry Sanders Show,8.5,A comedic behind the scenes look at a late night talk show.
Deadliest Catch,7.8,A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadly profession in the world.
Secret City,7.4,"Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own."
Goblin Slayer,7.5,"In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense."
Wire in the Blood,8.3,A psychologist gets inside of the minds of both killers and victims to aid the police in solving gruesome serial killings in Northern England.
Space: 1999,7.3,The crew of Moonbase Alpha must struggle to survive when a massive explosion throws the Moon from orbit into deep space.
"The Adventures of Brisco County, Jr.",8.3,"A bounty hunter rides the Old West, fighting bad guys, many with futuristic-type gadgets."
The Neighborhood,6.7,A friendly guy from the Midwest tries to fit in in a tough L.A. neighborhood.
The Outer Limits,8.2,An anthology series of insightful science fiction tales.
Panic,6.6,"No one knows who invented Panic or when it first began. But in the forgotten rural town of Carp, Texas, the game is the only way out. Every summer the graduating seniors risk their lives competing in a series of challenges that force them to confront their deepest fears for the chance to win life-changing money. Anyone can play. Only one will win. Let the games begin."
Hunter x Hunter,8.6,"The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua."
In from the Cold,6.3,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy."
Blossom,6.1,A teenage girl living in a house run by men dreams what life would be like if she lived in a more conventional family.
AJ and the Queen,7.6,"Ruby Red, a down-on-her-luck drag queen traveling across America, develops an unlikely sidekick named AJ."
Leave It to Beaver,7.6,"The misadventures of a suburban boy, family and friends."
The View,2.6,"Five women with very different outlooks on politics, Hollywood and it's stars, and current events discuss these and other divisive topics of the day. Originated by Barbara Walters and currently (2021) led by longtime host, Whoopi Goldberg."
EastEnders,4.7,"The everyday lives of working-class inhabitants of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East End of London's Walford borough. The square includes the Queen Vic pub and a street market."
To Your Eternity,8.4,"A lonely boy wandering the Arctic regions of North America meets a wolf, and the two become fast friends, depending on each other to survive the harsh environment. But the boy has a history, and the wolf is more than meets the eye as well."
Battle Creek,7.2,"Two detectives with different views on the world team up and using cynicism, guile and deception, they clean up the streets of Battle Creek."
Damnation,7.6,"An epic saga about the secret history of the 1930s American heartland, centering on the mythic conflict and bloody struggle between big money and the downtrodden."
Undateable,7.3,"A womanizer helps his sister, his bar-owning roomie, and his three friends with much-needed dating advice."
The Melancholy of Haruhi Suzumiya,7.8,"The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi."
Are You Being Served?,8.0,The misadventures of the staff of a retail floor of a major department store.
Valley of the Wolves: Ambush,6.2,"Valley of the Wolves, the legendary action drama, centers around Polat Alemdar and follows his journey to serve his country by trying to uncover the truth and defeating the secret enemies ...                See full summary »"
Survivors,7.5,"An unknown virus pandemic kills more than 90% of the world's population. Those immune must strive to survive and overcome the difficulties of this new world order, hoping that the virus will not mutate."
Debris,6.5,"Two agents from two different continents and two different mindsets, must work together to investigate when wreckage from a destroyed alien spacecraft has mysterious effects on humankind."
Heartbreak High,7.7,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak."
The Tonight Show with Conan O'Brien,8.0,"Opening monologues, sketches, celebrity interviews, and musical performances are commonly featured."
The Winchesters,6.3,An epic untold love story of John and Mary of how they not only saved their love but also the entire world.
Sunderland 'Til I Die,8.1,"Highlights the unfailing passion Sunderland residents have for their beloved football club, taking viewers through the highs and lows of SAFC's 2017-18 season in the Championship following its relegation the previous year."
The Neighbors,6.9,A New Jersey family moves to an affluent gated community composed entirely of extraterrestrials.
Infinity Train,8.4,"Various people find themselves on a mysterious train with an endless number of cars, each one being its own universe, and they must find a way to get home in this animated anthology series."
The Critic,7.9,Jay Sherman is a New York film critic who has to review films he doesn't like for a living.
Fairly Legal,7.3,"A woman, who quit being an attorney at her father's law firm to become a mediator, copes after her father's death."
Catfish: The TV Show,7.1,Nev Schulman and Max Joseph help people who have fallen in love online test the authenticity of their lovers' identities.
Bunheads,7.6,"Michelle, a Las Vegas showgirl marries a man on a whim and moves to his sleepy coastal town where she winds up working alongside her new mother-in-law at her dance school."
"Saas, Bahu Aur Flamingo",7.8,"Savitri, the matriarch of a massive cartel in the lawless Borderlands, opens up a battle for succession to find her heir in a murky world of drugs and violence."
The Outpost,6.5,"Talon, the lone survivor of the Blackbloods, sets off to track her family's killers, and discovers her supernatural powers, which she must learn to harness."
GCB,7.0,"Amanda Vaughn is a recently widowed mother of two who, to get a fresh start, moves back to the affluent Dallas neighborhood where she grew up to find herself in the whirling midst of salacious gossip, Botox, and fraud."
Suspicion,6.2,"Five ordinary Brits are accused of kidnapping the son of a prominent U.S. media mogul. They embark on a desperate race against time to prove their innocence, but will anyone believe them - and are they telling the truth?"
Chesapeake Shores,7.5,"A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past."
Law & Order: Organized Crime,7.7,Elliot Stabler returns to the NYPD to battle organized crime after a devastating personal loss.
Outsiders,7.4,A story of struggle for power set in the rugged and mysterious hills of Appalachia.
Suzhal - The Vortex,8.2,"In a small South Indian town, a seemingly routine minor case explodes into a twisted crime thriller that rips apart its social fabric."
About a Boy,7.4,"Womanizing Will lives a carefree bachelor life on a Christmas song's royalties - until 11-year-old Marcus and his cute mom Fiona move in next door. Will provides an escape for Marcus from his vegan, hippie, uncool, depressed mom."
Mad Dogs,7.5,"A group of guys travel to Belize to see an old friend, when things take an unexpectedly dark turn."
Black Butler,7.7,"Ciel Phantomhive takes care of the many unsettling events in Victorian England. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities. But is there more to this black-clad butler than meets the eye?"
Das Boot,7.5,An inexperienced U-boat crew has to survive a secret mission and a young German woman is torn between loyalty for her home country and the French resistance in the WWII drama.
4 Blocks,8.2,"Based in Neukölln, Berlin, Toni manages the daily business of dealing with the Arab gangs and ends up wanting to leave his old life behind for his family, but as expected, it's never that simple."
Roman Empire,7.0,Chronicles some of the most famous leaders of the Roman Civilization.
Dark Desire,6.5,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy, and leads her to question the truth about those close to her."
Still Game,8.9,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow."
Tash ma Tash,9.1,Follows two guys and their adventures in Kingdom Of Saudi Arabia.
Legit,8.1,Jim and his put upon friends try to learn what it means to be a good person.
Matlock,7.1,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer."
Jamtara: Sabka Number Ayega,7.3,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it."
Tales of the City,7.4,"A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ...                See full summary »"
Persons Unknown,6.8,Several strangers awaken and find themselves imprisoned inside a small ghost town. They quickly search for answers and along the way start to question each other's motives.
Kings,8.1,"A modern day, alternate-reality drama about a hero who rises to become the King of his nation, based on the biblical story of King David."
Alaska Daily,7.6,A journalist seeks a fresh start in Alaska working for a newspaper in Anchorage.
Tron: Uprising,8.2,"In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny."
The Apprentice,4.8,Contestants compete for a job as an apprentice to billionaire American Donald Trump.
Bitter Coffee,7.4,"Being transported into the past by drinking a cup of mysterious coffee, a man makes a living by predicting the future for the royal family."
Maharani,7.9,"CM Rani Bharti is accused of misgovernance and 'jungle raj' in the state. With the crumbling political scenario and constant opposition, will she succeed in this game of power?"
The Cleaning Lady,7.0,A Cambodian-Filipino doctor comes to the U.S. for a medical treatment to save her son but when the system fails she uses her cunning and intelligence to save her son.
DCI Banks,7.6,"The tenacious and stubborn DCI Banks unravels disturbing murder mysteries aided by his young assistants, DS Annie Cabbot and DI Helen Morton."
Fantasy Island,6.6,"The mysterious Mr. Roarke runs a unique resort island in the Pacific Ocean that can fulfill any fantasy, but they rarely turn out as expected."
Crisis,7.1,"Centers on an idealistic Secret Service agent who finds himself at the center of an international crisis on his first day on the job. In his search for the truth, he will have to cross ...                See full summary »"
The Riches,7.8,A family of crooks assume the identity of an upper-middle-class suburban clan in the Deep South.
The Cape,5.7,"Vince Faraday is a cop who has been framed for murder, leading him to fall off the grid and become the super hero known only as ""The Cape."""
Plebs,7.8,"""Plebs"" follows three desperate young men from the suburbs as they try to get laid, hold down jobs, and climb the social ladder in the big city--that happens to be Ancient Rome."
Clone High,8.1,"The greatest minds of the world have been cloned, and are now attending high school together."
While You Were Sleeping,8.3,"The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true."
Tidelands,6.8,"After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents."
Love Doesn't Understand Words,7.4,Hayat is a country girl with strict parents. She is in a love hate relationship with her boss Murat. Hayat is full of secrets that can ruin her career and relationship.
Rosewood,6.7,"Miami pathologist Dr. Beaumont Rosewood, Jr. finds secrets in people's bodies using his state-of-the-art laboratory equipment."
Mo,7.6,"Mo Najjar who straddles the line between two cultures, three languages and ""a ton of bullshit."" The fictional Mo is a Palestinian refugee living one step away from asylum on the path to U.S. citizenship."
Still Standing,7.5,Bill and Judy are not your average parents; the kids are the responsible ones.
Rudra: The Edge of Darkness,6.7,"In the crime-ridden streets of Mumbai, journeying through the maze of psychopathic minds is brilliant super-cop Rudra Veer Singh."
Criminal Justice: Behind Closed Doors,7.4,"Anuradha Chandra stabs her perfect lawyer husband one fateful night and confesses to her crime. However, it is anything but an open and shut case."
The Royle Family,8.2,"A British sitcom about the everyday life of a working-class family in Northwest England: watching telly, smoking, drinking, and bickering."
Men at Work,7.1,Comedy following the misadventures of four buddies who work together at a magazine.
Jonathan Creek,8.1,"Jonathan Creek, a magician with a natural ability for solving puzzles, works from his home in a converted windmill. He uses his abilities to solve impossible crimes and mysterious murders."
Riviera,6.7,A woman discovers her family's lifestyle has been funded by blood and seeks to protect herself and her loved ones.
The Waltons,7.6,The life and trials of a 1930s and 1940s Virginia mountain family through financial depression and World War II.
I Know What You Did Last Summer,5.4,"In a town full of secrets, a group of teenagers are stalked by a mysterious killer a year after a fatal accident on their graduation night."
Platonic,7.1,Former childhood best friends reconnect as adults and try to get past the rift that led to their falling out.
Fate/stay night [Unlimited Blade Works],8.0,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail."
Dark 7 White,6.3,"Yudi, a young politician, is murdered in broad daylight, which opens a can of worms. His closest friends become prime suspects, and as the mystery unfolds, many dark secrets unravel."
British Men Behaving Badly,7.7,Two early thirties best friends live together while having completely different personalities. While their girlfriends try to help them take on more responsibilities the boys seldom respond well and usually end up drinking together.
Quantum Leap,6.0,"Set 30 years after Dr. Sam Beckett stepped into the Quantum Leap accelerator and vanished, follows a new team that must restart the project hoping to understand the mysteries behind the machine and its creator."
The Avengers,8.3,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners.
Space: Above and Beyond,7.8,"The Earth is embroiled in a desperate war against alien invaders, and this series focuses on one squadron of Marine pilots involved in it."
Alef,7.9,Two detectives try to unravel the mystery of the murders that followed the discovery of a body in the Bosphorus.
Beast Wars: Transformers,8.1,"The Transformers' war continues in an older time, through a new generation. On pliocenic Earth, the heroic Maximals and the evil Predacons battle for survival against each other and against a violent planet."
Mock the Week,7.8,A comedic look at current events.
Mouse,8.7,"Jung Ba-Reum is a rookie police officer. He is an honest person and tries to attain justice. After Ba-Reum faces a psychopath murderer, who places the entire nation in fear, his life is totally changed."
Punk'd,6.0,A Hidden Camera Show similar to Candid Camera but famous celebrities are the victims. Each week Ashton and his crew of pranksters play a joke on celebrities such as Justin Timberlake and Frankie Muniz.
Vampire Academy,6.4,"In a world of privilege and glamour, two young women's friendship transcends their strikingly different classes as they prepare to complete their education and enter royal vampire society."
Aranyélet,8.7,"A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems."
Lost in Space,7.2,A space colony family struggles to survive when a spy/accidental stowaway throws their ship hopelessly off course.
Bionic Woman,5.8,A reimagining of the popular 1970s TV series about a female athlete who is given bionic strength.
Instinct,6.7,"A former CIA operative who has since built a ""normal"" life as a gifted professor and writer is pulled back into his old life when the NYPD needs his help to stop a serial killer on the loose."
Heroes,7.5,"True stories of real people who have saved someone's life, including reenactments."
Sports Night,8.3,"Casey McCall and Dan Rydell are sports anchors and best friends on ""Sports Night"", a nightly cable program."
Yeh Kaali Kaali Ankhein,7.0,"Aggressively pursued by a politician's daughter who will do anything to marry him, a small-town man takes drastic measures to reclaim his life."
Kojak,7.1,"A bald, lollipop sucking police detective with a fiery righteous attitude battles crime in his city."
I Am the Night,6.9,"In early 1960s, a teenage girl looking for her real father and a disgraced journalist seeking closure find themselves drawn into a web of secrets revolving around L.A.'s most infamous cold case, the Black Dahlia (Elizabeth Short) murder."
Laverne & Shirley,7.0,The misadventures of two single women in the 1950s and '60s.
The Listener,6.8,A young paramedic discovers he has telepathic powers.
The Chicago Code,7.7,"Detective Jarek Wysocki, one of Chicago's toughest cops, struggles to clean up the town's violence and corruption."
The Gates,7.1,"A metropolitan police officer becomes chief of police in a gated suburban neighborhood where vampires, werewolves, witches, and other supernatural entities reside."
Vratice se rode,9.1,"A story of two friends and petty thieves trying to make a living, but failing in every possible way."
Reboot,7.4,Follows an early 2000s family sitcom that Hulu has rebooted and their dysfunctional cast that must deal with their unresolved issues in today's fast-changing world.
Teletubbies,3.8,Four creatures with televisions in their stomachs have fun in their magical world.
Day Break,8.1,Today Detective Brett Hopper will be accused of shooting state attorney Alberto Garza. He will offer his rock solid alibi. He will realize he's been framed. And he will run. Then he will wake up and start the day over again.
Hart to Hart,6.7,The globe-trotting adventures of amateur detectives Jonathan and Jennifer Hart.
The Fall Guy,7.1,The adventures of a film stuntman who moonlights as a bounty hunter when movie work is slow.
Freakazoid!,7.5,"Washington, D.C. has a new defender: Freakazoid. The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things."
Sick Note,6.8,"When Daniel Glass is misdiagnosed with a fatal disease he begins to notice how everyone around him treats him better, so he decides to keep pretending that he really is sick. This leads to more lies, and, eventually, crimes."
Mrs. Davis,7.3,"Sister Simone partners with her ex-boyfriend Wiley on a globe-spanning journey to destroy Mrs. Davis, a powerful artificial intelligence."
The Young Indiana Jones Chronicles,7.2,The adventures of the archaeological treasure hunter in his youth as related by an elderly Indiana Jones.
Rake,8.5,"Cleaver Greene is a drug addict who has a massive gambling debt with some very shady characters and is in love with a prostitute. He's also a very good criminal lawyer, capable of winning unwinnable cases."
Lexx,7.3,A group of disparate fugitives from an interplanetary tyranny find themselves in control of a massively powerful starship.
Gantz,7.2,A group of people are resurrected from their deaths by a mysterious black ball called GANTZ to combat alien criminals hiding on Earth.
Grand Army,7.5,"The drama series tells the story of five high school students as they struggle with sexual, racial and economic politics and fight to succeed and become somebody."
The Uncanny Counter,8.1,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
James May: Our Man in...,8.2,"James May embarks on a remarkable journey across Japan, from its icy north to its balmy south. He'll see the sights, meet the locals, and eat the noodles in a bid to truly understand the Land of the Rising Sun."
A Touch of Frost,7.9,"DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized, and disrespectful, he attracts trouble like a magnet."
Speechless,7.5,The family of a special-needs teen is good at dealing with the challenges he faces--and excellent at creating new ones.
Wolf Pack,6.5,"A teenage boy and girl get their lives changed forever when a California wildfire awakens a terrifying supernatural creature. As the full moon rises, all teens come together to unravel the secret that connects them."
The House of Flowers,7.6,A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.
Signal,8.5,A cold-case profiler in 2015 and a detective in 1989 work together to solve a series of related murders spanning three decades using a special walkie-talkie to communicate with each other.
Good Trouble,7.5,Callie and Mariana Foster move to Los Angeles and begin their lives as young adults.
Dracula,6.6,"Jaleh Kabiri, the new wife of Kamran Kamarva, whom he has been married to for three years, has been taken to a birthday party and has invited all acquaintances and friends to show off his wealth to others."
Diagnosis Murder,6.8,"Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective."
Pagan Peak,8.0,Ellie Stocker and Gedeon Winter have become bitter enemies. A ritual murder leads to the formation of a German-Austrian Soko and forces the two opponents to investigate together.
Sealab 2021,7.8,"The drama of an oft-doomed aquatic colony and its personnel, who hate each other."
CSI: Vegas,7.5,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City."
The Bernie Mac Show,7.1,A stand up comedian suddenly becomes a father when he takes custody of his sister's three children.
John Doe,7.8,A man who seems to know everything but his own name helps police solve crimes as he searches for his identity.
Extracurricular,7.6,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.
L.A.'s Finest,6.2,"The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department."
Fighting Spirit,8.8,"Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies."
Bill Nye the Science Guy,8.2,Scientist/comedian Bill Nye explores various aspects of science for young viewers.
Army Wives,7.4,Four women and one man share the common bond of loving someone in the U.S. Army.
The Proud Family,6.5,Follow the adventures and misadventures of Penny Proud as she does her best to navigate through the early years of teend-dom.
Hap and Leonard,7.6,"Set in the late 1980s, Hap and Leonard is a darkly comic swamp noir of two best friends, one femme fatale, a crew of washed up revolutionaries, a pair of murderous psycho killers, some lost loot, and the fuzz."
American Pickers,7.0,Mike and Frank are pickers that travel the country and literally would go anywhere just for the prospects of finding antique gold. With the assistance of Danielle they often find themselves in a comedic pickle.
Toy Boy,6.5,A stripper sets out to prove his innocence for a crime he didn't commit and was unjustly incarcerated for seven years earlier.
30 Coins,7.1,An exiled priest tries to escape his demons while living in a remote village in Spain.
Meme Review,8.6,PewDiePie's critically acclaimed show where he rates and reviews popular memes out of 10 every week.
Damien,6.8,"After discovering his origins, Damien Thorn must cope with life as the Anti-Christ."
New Tricks,8.0,"Three retired police officers are drafted in to solve cold cases, with a touch of comedy and drama"
Hit-Monkey,7.8,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld."
Pinocchio,8.1,"A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He conceals his past for 13 years. But then the girl he loves, a reporter, finds out the truth."
Maid Sama!,7.9,"Ayuzawa Misaki serves as the student council president at Seika High. However, unbeknownst to her classmates, she works part-time as an employee at a Maid Cafe. Usui Takumi, a boy from her school, discovers this secret."
Life with Louie,8.3,"Adventures of Louie Anderson as a child, growing up with his sweet-hearted mother, his loud and war crazed father, his 10 siblings, and children at school who love to tease him."
The Facts of Life,6.8,"Mrs. Edna Garrett, housemother and dietitian at the Eastland School, teaches a group of girls in her charge how to solve those problems that every teenager has to face."
Blockbuster,5.1,"This comedy set in the last Blockbuster Video in America explores what, and who, makes a small business succeed."
The Letter for the King,6.0,"Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King."
Crashing,7.6,A New York comic is forced to make a new start for himself after his wife leaves him.
Last Tango in Halifax,8.4,"Re-united after 50+ years apart, Celia and Alan are reunited and decide to marry."
Our Beloved Summer,8.2,"A coming of age, romantic comedy revolving around ex-lovers who broke up with a promise never to meet again. But the documentary they filmed ten years ago gets the fame and they are by compulsion facing camera once more."
Gunsmoke,8.1,Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.
Lark Rise to Candleford,8.2,"An adaptation of Flora Thompson's autobiographical novel ""Lark Rise To Candleford"", set in 19 century Oxfordshire, in which a young girl moves to the local market town to begin an apprenticeship as a postmistress."
Fraggle Rock,7.9,The adventures of the various inhabitants of an underground civilization.
Avengers Assemble,7.0,The further adventures of the Marvel Universe's mightiest general membership superhero team.
The Devil Is a Part-Timer!,7.5,"Hilarity and fun ensues when Satan ends up in modern day Japan without any magic to return, and starts working part time in a fast food joint."
Divorce,6.8,"A couple goes through a long, drawn-out divorce."
Decoupled,7.9,"Follows a writer and his wife who announce their divorce with a party, which ends up exposing other absurd relationships in their world."
Ishq Mein Marjawan 2,6.7,"Riddhima and Vansh are back but this time, their relationship is not what it appears to be. Which new (or old?) enemy will they have to fight?"
The Bold and the Beautiful,3.4,"The saga of high fashion glamour, honor, romance, passion, and most importantly, family."
Wolf's Rain,7.9,"In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct."
Wipeout,6.6,Contestants make their way through a giant obstacle course to win a cash prize.
Childrens Hospital,7.8,"Explores the emotional struggles and sexual politics of a group of doctors charged with healthy libidos. Their dedication to their personal lives is relentless, interrupted only by the occasional need to treat sick children."
All That,7.5,A zany sketch comedy featuring many wacky characters hosted for kids and by kids.
The K2,7.8,"A highly trained special ops agent goes off the grid after being framed for murder, and is hired as a bodyguard when the powerful and influential father of a troubled girl sees his skills."
Great News,7.0,"A New Jersey mom puts her relationship with her daughter to the test when she lands an internship at her new job, which comes with many challenges."
Barney & Friends,3.9,"From pretending to be a pilot on a make-believe airplane to pretending to be a pirate in search of buried treasure, Barney's friends discover that creativity lets them soar in the wings of imagination!"
The First,6.7,Fictional series to chronicle the effort to send the first crewed mission to Mars.
Creepshow,7.0,The fictional Creepshow comic books come to life in this anthology series of terrifying tales hosted by the silent Creepshow ghoul.
Turn Up Charlie,7.1,"Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a nanny to his famous best friend's problem-child daughter."
The L Word: Generation Q,7.5,"Bette Porter, Shane McCutcheon and Alice Pieszecki intermingle with a younger generation of Los Angelenos experiencing love, heartbreak, sex, setbacks and success."
The Amanda Show,6.7,A comedy sketch show centered around All That (1994) alum Amanda Bynes.
Tuca & Bertie,7.4,The story of two 30-year old bird women who live in the same apartment building.
High Seas,6.8,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
Get Shorty,8.2,The adventures of a mobster-turned-movie producer in Hollywood. TV show based on Elmore Leonard's novel and subsequent film.
Wolf Like Me,7.3,Gary is an emotional wreck and struggles to provide for his daughter since the death of his wife. Mary has a secret she can't bring herself to share with anyone. The universe brought these two together for a reason.
Komi Can't Communicate,7.8,An elite and aloof schoolgirl is in fact severely withdrawn and anxious about communicating with others. An ordinary schoolboy befriends her and helps her to open up and talk with people.
Dynasty,6.3,"The trials and tribulations of two feuding families, the Carringtons and the Colbys, both oil rich families in Denver, Colorado."
Bungo Stray Dogs,7.8,"Nakajima Atsushi was kicked out of his orphanage, and now he has no place to go and no food. While he is standing by a river, on the brink of starvation, he rescues a man whimsically ...                See full summary »"
Inspector George Gently,8.1,"With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases."
